country,year,true_renew_share
Australia,2000,0.07999086688484663
Australia,2001,0.07651078416097225
Australia,2002,0.07236931730790358
Australia,2003,0.07813335024139274
Australia,2004,0.07487939623698749
Australia,2005,0.07249507981631315
Australia,2006,0.07659665850620624
Australia,2007,0.07089246865194093
Australia,2008,0.0628152996657361
Australia,2009,0.06388568757505178
Australia,2010,0.07516395486442308
Australia,2011,0.0956496051361837
Australia,2012,0.09314342629482071
Australia,2013,0.11906785095876354
Australia,2014,0.131989904088844
Australia,2015,0.11892059380847016
Australia,2016,0.1313409818445218
Australia,2017,0.14320760859454934
Australia,2018,0.15752860552152645
Australia,2019,0.18379528978645718
Australia,2020,0.21335425041670752
Australia,2021,0.2540011297307475
Austria,2000,0.7066784204254207
Austria,2001,0.6717001072875466
Austria,2002,0.6747627962047392
Austria,2003,0.5929803569648021
Austria,2004,0.6222721037535852
Austria,2005,0.6103878613754714
Austria,2006,0.61566639360732
Austria,2007,0.634019668100799
Austria,2008,0.6388822403063666
Austria,2009,0.6611128803450971
Austria,2010,0.6145777677793088
Austria,2011,0.6061448693987327
Austria,2012,0.6961624287170446
Austria,2013,0.7249864673094085
Austria,2014,0.7559219977381789
Austria,2015,0.7101309441764301
Austria,2016,0.7223295853829936
Austria,2017,0.7012619181155356
Austria,2018,0.7098259830355321
Austria,2019,0.7187929408594907
Austria,2020,0.7467195942220752
Austria,2021,0.7362978429242555
Belgium,2000,0.020413750416607153
Belgium,2001,0.021059620901767707
Belgium,2002,0.01884999207983526
Belgium,2003,0.016589861751152075
Belgium,2004,0.020781133106126278
Belgium,2005,0.0213826347794624
Belgium,2006,0.023596727668227173
Belgium,2007,0.024743484972305458
Belgium,2008,0.0288622172723072
Belgium,2009,0.03201219512195122
Belgium,2010,0.03748216267639131
Belgium,2011,0.05464836595538098
Belgium,2012,0.07912386961600058
Belgium,2013,0.09592650704866393
Belgium,2014,0.12359736428551736
Belgium,2015,0.14414427339636446
Belgium,2016,0.11685474638443027
Belgium,2017,0.12959649021532066
Belgium,2018,0.1703715549869396
Belgium,2019,0.1621866957143925
Belgium,2020,0.21514175834004115
Belgium,2021,0.18877764286709528
Brazil,2000,0.8724456163480554
Brazil,2001,0.8155387387826172
Brazil,2002,0.8278189376603765
Brazil,2003,0.838990610393068
Brazil,2004,0.8281210882352182
Brazil,2005,0.8375244707009103
Brazil,2006,0.8323663306600658
Brazil,2007,0.8416545545628747
Brazil,2008,0.7998691334083404
Brazil,2009,0.8414682024624507
Brazil,2010,0.7862241207803565
Brazil,2011,0.8105920561459463
Brazil,2012,0.7610268627319646
Brazil,2013,0.6964778098164452
Brazil,2014,0.646812778403907
Brazil,2015,0.6503450121994677
Brazil,2016,0.7092616549278904
Brazil,2017,0.6953164352924583
Brazil,2018,0.7261338146700088
Brazil,2019,0.727481248854711
Brazil,2020,0.7382451173738788
Brazil,2021,0.6886931207657311
Canada,2000,0.5919023973534616
Canada,2001,0.5652216613638172
Canada,2002,0.5833006605441182
Canada,2003,0.5733544322026576
Canada,2004,0.5693543203771141
Canada,2005,0.5853122640856463
Canada,2006,0.582279206759515
Canada,2007,0.5899967534327674
Canada,2008,0.6019344228140675
Canada,2009,0.6166429096928453
Canada,2010,0.5973085966822265
Canada,2011,0.6099791240297723
Canada,2012,0.6206038452964603
Canada,2013,0.625090040392804
Canada,2014,0.6178181018198922
Canada,2015,0.6259155186293421
Canada,2016,0.6303587610398705
Canada,2017,0.6476296174545323
Canada,2018,0.6418630062145735
Canada,2019,0.6412531796867817
Canada,2020,0.6540915037892674
Canada,2021,0.6564435470290797
China,2000,0.1646092386582068
China,2001,0.18793894995708832
China,2002,0.17471725899003968
China,2003,0.14910336490026194
China,2004,0.16113804298793466
China,2005,0.1596706373931899
China,2006,0.153458593788702
China,2007,0.14960938570762863
China,2008,0.1729476351473018
China,2009,0.17278700886655715
China,2010,0.18242116847627837
China,2011,0.16371016258033433
China,2012,0.19514782105487635
China,2013,0.19773254269542026
China,2014,0.2159987334326005
China,2015,0.2315756029609334
China,2016,0.23997352834057922
China,2017,0.2402306611798682
China,2018,0.24854140609096834
China,2019,0.2579966257619253
China,2020,0.26838449287052807
China,2021,0.2702991389627246
Czechia,2000,0.03149756349876133
Czechia,2001,0.03306183688779338
Czechia,2002,0.03728977838319275
Czechia,2003,0.021615581481970996
Czechia,2004,0.030498144261439767
Czechia,2005,0.03691055729128823
Czechia,2006,0.039200578466352935
Czechia,2007,0.030046032789859182
Czechia,2008,0.03148947362128947
Czechia,2009,0.04085132259045302
Czechia,2010,0.05041733117586115
Czechia,2011,0.05993575454119369
Czechia,2012,0.06205815735889634
Czechia,2013,0.07079493286389837
Czechia,2014,0.06455170172261689
Czechia,2015,0.07042387831974443
Czechia,2016,0.06998043428681175
Czechia,2017,0.06695997794421725
Czechia,2018,0.06420319652857451
Czechia,2019,0.07112326500597481
Czechia,2020,0.07886311502557623
Czechia,2021,0.07609603463081248
Denmark,2000,0.11849221978753502
Denmark,2001,0.11489835405126031
Denmark,2002,0.12497772800162904
Denmark,2003,0.12090243796821548
Denmark,2004,0.1635419243136285
Denmark,2005,0.18316503890084423
Denmark,2006,0.1344631777422113
Denmark,2007,0.18315698443381828
Denmark,2008,0.18999890758138518
Denmark,2009,0.18536129511035374
Denmark,2010,0.20164174879699442
Denmark,2011,0.2783376387430096
Denmark,2012,0.3384585315004235
Denmark,2013,0.33542500215883253
Denmark,2014,0.4253620036044994
Denmark,2015,0.509900819020631
Denmark,2016,0.4435383506910329
Denmark,2017,0.501257334450964
Denmark,2018,0.4896419984849982
Denmark,2019,0.5803544200860637
Denmark,2020,0.610165361183638
Denmark,2021,0.5258730254796344
Egypt,2000,0.17703441127164302
Egypt,2001,0.18432554453543382
Egypt,2002,0.1464626079156856
Egypt,2003,0.1406448630532763
Egypt,2004,0.12998153979802368
Egypt,2005,0.12140951329469132
Egypt,2006,0.1173325708145953
Egypt,2007,0.13059322778892182
Egypt,2008,0.11928801994890388
Egypt,2009,0.10086771022514342
Egypt,2010,0.09212704162893101
Egypt,2011,0.09357671863248734
Egypt,2012,0.08837585919283057
Egypt,2013,0.08824701787785942
Egypt,2014,0.08875047101407904
Egypt,2015,0.08490135307167143
Egypt,2016,0.08269676445279713
Egypt,2017,0.07949673764347504
Egypt,2018,0.08863149249844761
Egypt,2019,0.12034375237660659
Egypt,2020,0.12360850222441917
Egypt,2021,0.12162103506648211
Estonia,2000,0.0005873370139786209
Estonia,2001,0.0008251797713073205
Estonia,2002,0.0008209217778820218
Estonia,2003,0.0018702628211438135
Estonia,2004,0.0029114906832298135
Estonia,2005,0.007447329740323371
Estonia,2006,0.009247842170160296
Estonia,2007,0.00918785890073831
Estonia,2008,0.015215953123523297
Estonia,2009,0.025857159129741427
Estonia,2010,0.023449552607219995
Estonia,2011,0.03086946405025983
Estonia,2012,0.039776050806384224
Estonia,2013,0.04180790960451977
Estonia,2014,0.05069901976538647
Estonia,2015,0.07311785573512022
Estonia,2016,0.05243261012491782
Estonia,2017,0.057987536099711204
Estonia,2018,0.0550881734347193
Estonia,2019,0.10232497044529094
Estonia,2020,0.18416721527320606
Estonia,2021,0.15400638800166644
Finland,2000,0.21064364925117182
Finland,2001,0.1782482614182531
Finland,2002,0.1446467880728437
Finland,2003,0.1148637430922847
Finland,2004,0.17697012056613665
Finland,2005,0.19774163384432292
Finland,2006,0.1415710953445427
Finland,2007,0.17686011446858269
Finland,2008,0.22441626201053827
Finland,2009,0.1799247942943568
Finland,2010,0.16388179586979695
Finland,2011,0.17592957918939878
Finland,2012,0.2465381829543679
Finland,2013,0.19111104873907125
Finland,2014,0.21311716157076982
Finland,2015,0.2785317570226971
Finland,2016,0.2747211193042163
Finland,2017,0.2904936095848822
Finland,2018,0.2736899035040278
Finland,2019,0.27083758193736346
Finland,2020,0.35163930876174804
Finland,2021,0.34104270660011093
France,2000,0.13277612537364294
France,2001,0.1440012374210689
France,2002,0.11912074310050924
France,2003,0.11495897409660978
France,2004,0.11492144453560908
France,2005,0.10030899559073708
France,2006,0.11202378280964881
France,2007,0.11901531678738853
France,2008,0.12995181289810998
France,2009,0.13154663720975363
France,2010,0.1380077184267338
France,2011,0.11573201580889853
France,2012,0.148634146767059
France,2013,0.17030387807117664
France,2014,0.16439632859718414
France,2015,0.15639501497679761
France,2016,0.1713836784366104
France,2017,0.1608513074335616
France,2018,0.1907437210268953
France,2019,0.19208482890539
France,2020,0.22810737776443324
France,2021,0.2114927758460575
Germany,2000,0.061159108080491985
Germany,2001,0.06429477176843343
Germany,2002,0.07459177363567793
Germany,2003,0.06942401880326168
Germany,2004,0.08580918958886467
Germany,2005,0.08902544317733192
Germany,2006,0.09425664803456885
Germany,2007,0.11174206987738403
Germany,2008,0.11274116100377249
Germany,2009,0.11853591720609118
Germany,2010,0.12265763204447815
Germany,2011,0.15166288004201442
Germany,2012,0.16860200473011902
Germany,2013,0.17630941551680676
Germany,2014,0.19129317018314576
Germany,2015,0.22270398837591335
Germany,2016,0.22189441447369432
Germany,2017,0.26220891723252815
Germany,2018,0.2770645840229332
Germany,2019,0.3231825768597683
Germany,2020,0.3598917044044611
Germany,2021,0.3202721327127745
Greece,2000,0.08472624619270486
Greece,2001,0.06481826307165202
Greece,2002,0.0753369469674773
Greece,2003,0.10865215234902773
Greece,2004,0.10661207158022444
Greece,2005,0.11457847384205265
Greece,2006,0.1344815673888368
Greece,2007,0.08181617739700138
Greece,2008,0.1003309855840876
Greece,2009,0.13390717464664742
Greece,2010,0.18064628516679732
Greece,2011,0.13796352379029544
Greece,2012,0.16625928903033185
Greece,2013,0.24795282754759237
Greece,2014,0.23948963822958355
Greece,2015,0.2828199097813934
Greece,2016,0.2689432208526975
Greece,2017,0.24438839848675914
Greece,2018,0.2975779196395043
Greece,2019,0.3238040393237629
Greece,2020,0.35640116893614376
Greece,2021,0.3965016175906125
Hungary,2000,0.005058111448950016
Hungary,2001,0.005135246464369078
Hungary,2002,0.005393146555300495
Hungary,2003,0.005125201347195783
Hungary,2004,0.006259641628100154
Hungary,2005,0.005929074840586196
Hungary,2006,0.00638612342787027
Hungary,2007,0.008008008008008008
Hungary,2008,0.010443472829481574
Hungary,2009,0.015567995098448771
Hungary,2010,0.019320827423800476
Hungary,2011,0.02357089313973181
Hungary,2012,0.02858462782237108
Hungary,2013,0.031526475637131915
Hungary,2014,0.03486157404258214
Hungary,2015,0.035179024342040253
Hungary,2016,0.03720886492586439
Hungary,2017,0.04034634665046331
Hungary,2018,0.045841519318926
Hungary,2019,0.07182642675920796
Hungary,2020,0.09659318637274548
Hungary,2021,0.12967884828349946
India,2000,0.13572166969664565
India,2001,0.13101664708490549
India,2002,0.11963103671383778
India,2003,0.13202549871475733
India,2004,0.14090353295061922
India,2005,0.1613986993242528
India,2006,0.16994504112466946
India,2007,0.17131297164501952
India,2008,0.15698175995758626
India,2009,0.14511693774938125
India,2010,0.14876066209104008
India,2011,0.15876728030107048
India,2012,0.14239276331845133
India,2013,0.1569645303699193
India,2014,0.1440609101598426
India,2015,0.13402364052961033
India,2016,0.14300130714940237
India,2017,0.14773252526001693
India,2018,0.15997732475635612
India,2019,0.17903930396209833
India,2020,0.18887481120392838
India,2021,0.19160215174008505
Indonesia,2000,0.15949638360567908
Indonesia,2001,0.17466964268078297
Indonesia,2002,0.14943123538815528
Indonesia,2003,0.13625258909129534
Indonesia,2004,0.13589873754816376
Indonesia,2005,0.13588281880983932
Indonesia,2006,0.1223473007093904
Indonesia,2007,0.12878558715731864
Indonesia,2008,0.13284357713994885
Indonesia,2009,0.13192876369806217
Indonesia,2010,0.1514927270159582
Indonesia,2011,0.11430249571286978
Indonesia,2012,0.10720694645441389
Indonesia,2013,0.11776274913843582
Indonesia,2014,0.10598378987371572
Indonesia,2015,0.09651385374083447
Indonesia,2016,0.11196705056822516
